"canonical","weighted_missing","weighted_modal_prop","rao_scott_p","passed_unsup","forced","candidate"
"f_famsze",0.0192,0.2633,0,TRUE,FALSE,TRUE
"f_famrfp",0.0109,0.5492,0,TRUE,FALSE,TRUE
"f_region",0.019,0.3801,0,TRUE,FALSE,TRUE
"f_age",0.019,0.0179,0,TRUE,TRUE,TRUE
"f_marr",0.0209,0.3769,0,TRUE,FALSE,TRUE
"f_marry",0.0109,0.3948,0,TRUE,FALSE,TRUE
"f_hibpdx",0.261,0.6787,0,TRUE,FALSE,TRUE
"f_chddx",0.261,0.9513,0,TRUE,FALSE,TRUE
"f_angidx",0.2609,0.9792,0,TRUE,FALSE,TRUE
"f_midx",0.2609,0.9635,0,TRUE,FALSE,TRUE
"f_ohrtdx",0.2609,0.894,0,TRUE,FALSE,TRUE
"f_strkdx",0.2607,0.9599,0,TRUE,FALSE,TRUE
"f_emphdx",0.2608,0.9792,0,TRUE,FALSE,TRUE
"f_choldx",0.2613,0.7042,0,TRUE,FALSE,TRUE
"f_cancer",0.2608,0.8935,0,TRUE,FALSE,TRUE
"f_arthdx",0.261,0.7495,0,TRUE,FALSE,TRUE
"f_asthdx",0.0133,0.8788,0,TRUE,FALSE,TRUE
"f_wilfil",0.378,0.5599,0,TRUE,FALSE,TRUE
"f_ttlp",0.0109,0.2795,0,TRUE,TRUE,TRUE
"f_mcrev",0.0109,0.8172,0,TRUE,FALSE,TRUE
"f_unins",0.0109,0.9301,0,TRUE,TRUE,TRUE
"f_insurc",0.0109,0.5853,0,TRUE,FALSE,TRUE
"f_prvhmo",0.0768,0.406,0,TRUE,FALSE,TRUE
"f_prieu",0.019,0.5221,0,TRUE,FALSE,TRUE
"f_pring",0.019,0.9687,0,TRUE,FALSE,TRUE
"f_pub",0.019,0.6251,0,TRUE,FALSE,TRUE
"f_ins",0.019,0.8957,0,TRUE,FALSE,TRUE
"f_totexp",0.0109,0.1383,0,TRUE,TRUE,TRUE
"f_totslf",0.0109,0.2691,0,TRUE,TRUE,TRUE
"f_obtotv",0.0109,0.2484,0,TRUE,FALSE,TRUE
"f_obdrv",0.0109,0.331,0,TRUE,FALSE,TRUE
"f_optotv",0.0109,0.835,0,TRUE,FALSE,TRUE
"f_opdrv",0.0109,0.8969,0,TRUE,FALSE,TRUE
"f_ertot",0.0109,0.8557,0,TRUE,FALSE,TRUE
"f_ipdis",0.0109,0.9339,0,TRUE,FALSE,TRUE
"f_ipngtd",0.0109,0.9346,0,TRUE,FALSE,TRUE
"f_dvtot",0.0109,0.5532,0,TRUE,FALSE,TRUE
"f_hhtotd",0.0126,0.9685,0,TRUE,FALSE,TRUE
"f_hhagd",0.0122,0.9731,0,TRUE,FALSE,TRUE
"f_rxtot",0.0109,0.3956,0,TRUE,FALSE,TRUE
"f_sex",0,0.5098,0,TRUE,TRUE,TRUE
